pid,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,PrgP,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CK,InSwingCK,OutSwingCK,StrCK,Cmp,PassesToOff,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,TO,SCASh,SCAFld,SCADef,GCA,GCA90,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,AerialLoss,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,Tkld,Tkld%,Carries,TotDist,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialWin%,AVGShotDistance,G+APer90,GoalsPer90,ShotsPer90,SoTPer90,SoT%Per90,Sh/90Per90,SoT/90Per90,G/ShPer90,G/SoTPer90,FKShotsPer90,PKPer90,PKsAttPer90,xGPer90,npxGPer90,npxG/ShPer90,G-xGPer90,npG-xGPer90,PassesCompletedPer90,PassesAttemptedPer90,TotCmp%Per90,TotalPassDistPer90,ProgPassDistPer90,ShortPassCmpPer90,ShortPassAttPer90,ShortPassCmp%Per90,MedPassCmpPer90,MedPassAttPer90,MedPassCmp%Per90,LongPassCmpPer90,LongPassAttPer90,LongPassCmp%Per90,AssistsPer90,xAGPer90,xAPer90,A-xAGPer90,KeyPassesPer90,Final1/3CmpPer90,PenAreaCmpPer90,CrsPenAreaCmpPer90,PrgPPer90,LivePassPer90,DeadPassPer90,FKPassesPer90,ThruBallsPer90,SwitchesPer90,CrsPer90,ThrowInPer90,CKPer90,InSwingCKPer90,OutSwingCKPer90,StrCKPer90,CmpPer90,PassesToOffPer90,PassesBlockedPer90,SCAPer90,SCA90Per90,SCAPassLivePer90,SCAPassDeadPer90,TOPer90,SCAShPer90,SCAFldPer90,SCADefPer90,GCAPer90,GCA90Per90,TklPer90,TklWinPossPer90,Def3rdTklPer90,Mid3rdTklPer90,Att3rdTklPer90,DrbTklPer90,DrbPastAttPer90,DrbTkl%Per90,AerialLossPer90,BlocksPer90,ShBlocksPer90,PassBlocksPer90,IntPer90,Tkl+IntPer90,ClrPer90,ErrPer90,TouchesPer90,DefPenTouchPer90,Def3rdTouchPer90,Mid3rdTouchPer90,Att3rdTouchPer90,AttPenTouchPer90,LiveTouchPer90,AttDrbPer90,SuccDrbPer90,DrbSucc%Per90,TkldPer90,Tkld%Per90,CarriesPer90,TotDistPer90,YellowsPer90,RedsPer90,Yellow2Per90,FlsPer90,FldPer90,OffPer90,PKwonPer90,PKconPer90,OGPer90,RecovPer90,AerialWinsPer90,AerialWin%Per90,AVGShotDistancePer90,90sPer90,AvgTeamPoss,OppTouches,TeamMins,TeamTouches90,pAdjTkl+IntPer90,pAdjClrPer90,pAdjShBlocksPer90,pAdjPassBlocksPer90,pAdjIntPer90,pAdjDrbTklPer90,pAdjTklWinPossPer90,pAdjAerialWinsPer90,pAdjAerialLossPer90,pAdjDrbPastAttPer90,TouchCentrality,Tkl+IntOppTouch,pAdjTouchesPer90,Main Position
0,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25,1997,18,14,1279,0,0.0,9,2,22.2,0.63,0.14,0.0,0.0,0,0,0,1.2,1.2,0.13,-1.2,-1.2,1176,1274,92.3,21510,7730,424,447,94.9,661,696,95.0,81,112,72.3,0,0.1,0.2,-0.1,2,84,0,0,68,1240,34,24,0,5,1,6,0,0,0,0,1176,0,2,11,0.77,9,0,0,2,0,0,1,0.07,16,10,7,8,1,7,7,100.0,0,16,9,7,15,31,38,0,1390,110,528,802,66,19,1390,5,5,100.0,0,0.0,883,4752,1,0,0,14,5,0,0,0,0,62,33,68.8,9.2,0.0,0.0,0.6333072713057076,0.1407349491790461,1.562157935887412,0.0443315089913995,0.0098514464425332,0.0,0.0,0.0,0.0,0.0,0.0844409695074276,0.0844409695074276,0.009147771696638,-0.0844409695074276,-0.0844409695074276,82.75215011727913,89.64816262705239,6.494917904612979,1513.6043784206413,543.9405785770133,29.83580922595778,31.454261141516813,6.67787333854574,46.512900703674745,48.97576231430806,6.684910086004692,5.699765441751368,7.881157154026583,5.087568412822518,0.0,0.0070367474589523,0.0140734949179046,-0.0070367474589523,0.1407349491790461,5.910867865519938,0.0,0.0,4.784988272087569,87.2556684910086,2.3924941360437844,1.6888193901485538,0.0,0.3518373729476153,0.070367474589523,0.4222048475371384,0.0,0.0,0.0,0.0,82.75215011727913,0.0,0.1407349491790461,0.7740422204847538,0.0541829554339327,0.6333072713057076,0.0,0.0,0.1407349491790461,0.0,0.0,0.070367474589523,0.0049257232212666,1.125879593432369,0.7036747458952307,0.4925723221266614,0.5629397967161845,0.070367474589523,0.4925723221266614,0.4925723221266614,7.0367474589523065,0.0,1.125879593432369,0.6333072713057076,0.4925723221266614,1.055512118842846,2.181391712275216,2.6739640344018767,0.0,97.81078967943706,7.740422204847538,37.15402658326818,56.4347146207975,4.644253322908522,1.3369820172009383,97.81078967943706,0.3518373729476153,0.3518373729476153,7.0367474589523065,0.0,0.0,62.13448006254887,334.3862392494136,0.070367474589523,0.0,0.0,0.9851446442533228,0.3518373729476153,0.0,0.0,0.0,0.0,4.362783424550431,2.322126661454261,4.841282251759187,9.2,14.21111111111111,64.2,12608,2340,779.8461538461538,3.046636469658123,3.7345866402260848,0.8845073621588095,0.6879501705679629,1.4741789369313494,0.6879501705679629,0.6879501705679629,3.2431936612489687,0.0,0.6879501705679629,12.542318660807672,2.6990570044014404,76.17662747619708,Centre-Back
1,Rúben Neves,pt POR,MF,Wolves,eng Premier League,25,1997,25,25,2250,5,0.2,46,11,23.9,1.84,0.44,0.07,0.27,8,2,2,3.8,2.2,0.05,1.2,0.8,1302,1567,83.1,28020,7443,420,463,90.7,626,695,90.1,244,354,68.9,0,1.0,0.9,-1.0,20,151,11,1,152,1464,99,81,5,20,23,8,4,2,1,0,1302,4,27,52,2.08,38,4,2,2,2,4,2,0.08,62,34,25,25,12,23,52,44.2,29,42,19,23,36,98,69,1,1855,142,634,972,265,15,1853,18,10,55.6,6,33.3,960,4216,9,0,0,25,13,0,0,1,0,173,20,48.8,27.0,0.2,0.008,1.84,0.44,0.956,0.0736,0.0176,0.0028,0.0108,0.32,0.08,0.08,0.152,0.088,0.002,0.048,0.032,52.08,62.68,3.324,1120.8,297.72,16.8,18.52,3.628,25.04,27.8,3.604,9.76,14.16,2.756,0.0,0.04,0.036,-0.04,0.8,6.04,0.44,0.04,6.08,58.56,3.96,3.24,0.2,0.8,0.92,0.32,0.16,0.08,0.04,0.0,52.08,0.16,1.08,2.08,0.0832,1.52,0.16,0.08,0.08,0.08,0.16,0.08,0.0032,2.48,1.36,1.0,1.0,0.48,0.92,2.08,1.768,1.16,1.68,0.76,0.92,1.44,3.92,2.76,0.04,74.2,5.68,25.36,38.88,10.6,0.6,74.12,0.72,0.4,2.224,0.24,1.332,38.4,168.64,0.36,0.0,0.0,1.0,0.52,0.0,0.0,0.04,0.0,6.92,0.8,1.952,27.0,25.0,49.3,15693,2340,595.6153846153846,3.8658777120315584,2.72189349112426,0.7495069033530571,0.9072978303747534,1.4201183431952662,0.9072978303747534,0.9072978303747534,0.7889546351084813,1.1439842209072977,2.051282051282051,12.45770373240346,3.8967692601796977,75.25354969574038,Defensive Midfield
2,Rúben Vinagre,pt POR,"DF,MF",Everton,eng Premier League,23,1999,2,0,26,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,15,24,62.5,223,26,7,10,70.0,7,10,70.0,0,0,0.0,0,0.0,0.0,0.0,0,2,0,0,0,19,5,1,0,0,2,4,0,0,0,0,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,31,1,7,16,9,0,31,3,1,33.3,0,0.0,15,98,0,0,0,0,3,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.92307692307693,83.07692307692308,216.34615384615387,771.923076923077,90.00000000000001,24.23076923076924,34.61538461538462,242.30769230769232,24.23076923076924,34.61538461538462,242.30769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,65.76923076923077,17.30769230769231,3.4615384615384617,0.0,0.0,6.923076923076923,13.846153846153848,0.0,0.0,0.0,0.0,51.92307692307693,0.0,3.4615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,6.923076923076923,3.4615384615384617,3.4615384615384617,0.0,3.4615384615384617,6.923076923076923,173.0769230769231,3.4615384615384617,0.0,0.0,0.0,0.0,6.923076923076923,3.4615384615384617,0.0,107.30769230769232,3.4615384615384617,24.23076923076924,55.38461538461539,31.15384615384616,0.0,107.30769230769232,10.384615384615383,3.4615384615384617,115.26923076923076,0.0,0.0,51.92307692307693,339.2307692307693,0.0,0.0,0.0,0.0,10.384615384615383,0.0,0.0,0.0,0.0,13.846153846153848,0.0,0.0,0.0,0.2888888888888888,44.8,16253,2250,554.08,6.270903010033445,3.1354515050167224,0.0,0.0,0.0,3.1354515050167224,3.1354515050167224,0.0,3.1354515050167224,6.270903010033445,19.366822896999043,6.389352971522419,119.76304945054947,Left-Back
3,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,26,1996,24,19,1773,4,0.1,25,7,28.0,1.27,0.36,0.08,0.29,5,0,0,1.0,1.0,0.04,1.0,1.0,879,1094,80.3,15564,5569,390,409,95.4,345,412,83.7,107,195,54.9,2,1.9,2.4,0.1,36,69,20,5,80,953,134,72,2,9,81,2,60,21,26,0,879,7,21,66,3.35,42,21,1,1,1,0,2,0.1,35,18,21,14,0,14,28,50.0,14,25,10,15,12,47,21,0,1247,61,330,646,287,11,1247,26,14,53.8,11,42.3,757,3900,6,0,0,25,13,0,0,1,0,116,9,52.9,27.1,0.2030456852791878,0.0050761421319796,1.269035532994924,0.3553299492385787,1.4213197969543148,0.0644670050761421,0.0182741116751269,0.0040609137055837,0.0147208121827411,0.2538071065989847,0.0,0.0,0.0507614213197969,0.0507614213197969,0.0020304568527918,0.0507614213197969,0.0507614213197969,44.61928934010152,55.53299492385787,4.076142131979696,790.0507614213199,282.6903553299492,19.79695431472081,20.761421319796955,4.84263959390863,17.51269035532995,20.913705583756347,4.248730964467005,5.431472081218274,9.898477157360407,2.786802030456853,0.1015228426395939,0.0964467005076142,0.1218274111675127,0.0050761421319796,1.8274111675126905,3.50253807106599,1.015228426395939,0.2538071065989847,4.060913705583756,48.3756345177665,6.802030456852792,3.654822335025381,0.1015228426395939,0.4568527918781726,4.111675126903553,0.1015228426395939,3.045685279187817,1.065989847715736,1.3197969543147208,0.0,44.61928934010152,0.3553299492385787,1.065989847715736,3.3502538071066,0.1700507614213198,2.1319796954314723,1.065989847715736,0.0507614213197969,0.0507614213197969,0.0507614213197969,0.0,0.1015228426395939,0.0050761421319796,1.7766497461928934,0.9137055837563453,1.065989847715736,0.7106598984771574,0.0,0.7106598984771574,1.4213197969543148,2.538071065989848,0.7106598984771574,1.269035532994924,0.5076142131979695,0.7614213197969544,0.6091370558375635,2.385786802030457,1.065989847715736,0.0,63.299492385786806,3.0964467005076144,16.751269035532996,32.79187817258883,14.568527918781726,0.5583756345177665,63.299492385786806,1.3197969543147208,0.7106598984771574,2.730964467005076,0.5583756345177665,2.147208121827412,38.4263959390863,197.96954314720813,0.3045685279187817,0.0,0.0,1.269035532994924,0.6598984771573604,0.0,0.0,0.0507614213197969,0.0,5.888324873096447,0.4568527918781726,2.685279187817259,27.1,19.7,47.5,14991,2250,558.92,2.2721779066956733,1.015228426395939,0.48344210780759,0.7251631617113851,0.580130529369108,0.6768189509306262,0.6768189509306262,0.4350978970268311,0.6768189509306262,1.3536379018612523,11.325322476523798,2.387219133510563,66.63104461661769,Central Midfield
4,Sacha Delaye,fr FRA,"FW,MF",Montpellier,fr Ligue 1,20,2002,3,0,20,1,4.5,2,1,50.0,9.0,4.5,0.5,1.0,0,0,0,0.1,0.1,0.03,0.9,0.9,8,14,57.1,86,52,6,8,75.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,12,2,0,0,0,0,2,0,0,0,0,8,0,1,2,9.0,0,1,0,1,0,0,0,0.0,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,19,0,6,9,4,1,19,0,0,0.0,0,0.0,9,30,0,0,0,1,0,0,0,0,0,3,1,50.0,20.4,4.5,20.25,9.0,4.5,225.0,40.5,20.25,2.25,4.5,0.0,0.0,0.0,0.45,0.45,0.135,4.050000000000001,4.050000000000001,36.0,63.0,256.95000000000005,387.0,234.0,27.0,36.0,337.5,4.5,13.5,149.85,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,54.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,36.0,0.0,4.5,9.0,40.5,0.0,4.5,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,4.5,4.5,450.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,85.5,0.0,27.0,40.5,18.0,4.5,85.5,0.0,0.0,0.0,0.0,0.0,40.5,135.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,13.5,4.5,225.0,20.4,0.2222222222222222,46.1,15451,2250,536.92,4.174397031539889,0.0,0.0,0.0,0.0,4.174397031539889,4.174397031539889,4.174397031539889,0.0,4.174397031539889,15.92416002383968,4.36864927836386,92.73318872017352,Central Midfield
5,Sada Thioub,sn SEN,"FW,MF",Angers,fr Ligue 1,27,1995,19,5,559,1,0.0,7,0,0.0,1.13,0.0,0.0,0.0,0,0,0,0.8,0.8,0.11,-0.8,-0.8,223,282,79.1,3404,1202,119,138,86.2,82,102,80.4,11,20,55.0,1,1.2,0.9,-0.2,9,30,10,4,38,257,23,2,1,2,16,20,1,0,1,0,223,2,4,20,3.21,17,0,2,1,0,0,1,0.16,14,6,7,5,2,4,8,50.0,4,7,0,7,2,16,3,0,354,9,52,187,120,13,354,21,6,28.6,13,61.9,264,1592,2,0,0,9,3,0,0,0,0,33,3,25.0,14.1,0.1610017889087656,0.0,1.1270125223613596,0.0,0.0,0.1819320214669051,0.0,0.0,0.0,0.0,0.0,0.0,0.1288014311270125,0.1288014311270125,0.0177101967799642,-0.1288014311270125,-0.1288014311270125,35.90339892665474,45.40250447227192,12.735241502683362,548.0500894454383,193.5241502683363,19.159212880143112,22.21824686940966,13.8783542039356,13.202146690518784,16.422182468694096,12.94454382826476,1.7710196779964222,3.220035778175313,8.85509838998211,0.1610017889087656,0.1932021466905187,0.1449016100178891,-0.0322003577817531,1.4490161001788908,4.83005366726297,1.6100178890876564,0.6440071556350626,6.118067978533095,41.37745974955277,3.70304114490161,0.3220035778175313,0.1610017889087656,0.3220035778175313,2.5760286225402504,3.220035778175313,0.1610017889087656,0.0,0.1610017889087656,0.0,35.90339892665474,0.3220035778175313,0.6440071556350626,3.220035778175313,0.5168157423971377,2.737030411449016,0.0,0.3220035778175313,0.1610017889087656,0.0,0.0,0.1610017889087656,0.0257602862254025,2.25402504472272,0.966010733452594,1.1270125223613596,0.8050089445438282,0.3220035778175313,0.6440071556350626,1.2880143112701252,8.050089445438282,0.6440071556350626,1.1270125223613596,0.0,1.1270125223613596,0.3220035778175313,2.5760286225402504,0.4830053667262969,0.0,56.99463327370304,1.4490161001788908,8.372093023255815,30.107334525939176,19.32021466905188,2.0930232558139537,56.99463327370304,3.3810375670840784,0.966010733452594,4.604651162790698,2.0930232558139537,9.966010733452594,42.50447227191413,256.3148479427549,0.3220035778175313,0.0,0.0,1.4490161001788908,0.4830053667262969,0.0,0.0,0.0,0.0,5.3130590339892665,0.4830053667262969,4.025044722719141,14.1,6.211111111111111,47.7,15640,2250,577.24,2.462742468967735,0.4617642129314502,0.0,1.077449830173384,0.3078428086209668,0.6156856172419337,0.6156856172419337,0.4617642129314502,0.6156856172419337,1.2313712344838674,9.87364584465786,2.470615686579524,59.74280217369291,Right Winger
6,Sadio Mané,sn SEN,FW,Bayern Munich,de Bundesliga,30,1992,16,12,960,9,0.56,41,17,41.5,3.84,1.59,0.12,0.29,0,1,2,6.3,4.6,0.12,-0.3,0.4,220,298,73.8,3230,901,135,163,82.8,69,85,81.2,11,17,64.7,3,2.5,2.0,0.5,15,11,22,3,33,280,15,2,1,3,13,4,0,0,0,0,220,3,18,47,4.4,32,0,3,8,4,0,9,0.84,6,3,2,2,2,1,5,20.0,4,11,2,9,0,6,2,0,442,7,28,157,266,90,440,39,20,51.3,17,43.6,304,2003,1,0,0,12,18,17,1,0,0,30,10,47.6,13.3,0.84375,0.0525,3.84375,1.59375,3.890625,0.36,0.1490625,0.01125,0.0271875,0.0,0.09375,0.1875,0.5906250000000001,0.4312499999999999,0.01125,-0.028125,0.0375,20.625,27.9375,6.91875,302.8125,84.46875,12.65625,15.28125,7.7625,6.46875,7.96875,7.612500000000001,1.03125,1.59375,6.065625000000001,0.28125,0.234375,0.1875,0.046875,1.40625,1.03125,2.0625,0.28125,3.09375,26.25,1.40625,0.1875,0.09375,0.28125,1.21875,0.375,0.0,0.0,0.0,0.0,20.625,0.28125,1.6875,4.40625,0.4125,3.0,0.0,0.28125,0.75,0.375,0.0,0.84375,0.07875,0.5625,0.28125,0.1875,0.1875,0.1875,0.09375,0.46875,1.875,0.375,1.03125,0.1875,0.84375,0.0,0.5625,0.1875,0.0,41.4375,0.65625,2.625,14.71875,24.9375,8.4375,41.25,3.65625,1.875,4.809375,1.59375,4.0875,28.5,187.78125,0.09375,0.0,0.0,1.125,1.6875,1.59375,0.09375,0.0,0.0,2.8125,0.9375,4.4625,13.3,10.666666666666666,64.4,11372,2070,785.8695652173913,0.7900280898876406,0.2633426966292135,0.2633426966292135,1.1850421348314608,0.0,0.1316713483146067,0.1316713483146067,1.3167134831460676,0.526685393258427,0.6583567415730338,5.272821576763486,0.6825976081603939,32.17197204968944,Left Winger
7,Saidy Janko,gm GAM,DF,Bochum,de Bundesliga,27,1995,14,9,786,0,0.0,1,0,0.0,0.11,0.0,0.0,0.0,0,0,0,0.0,0.0,0.05,0.0,0.0,230,332,69.3,4017,1198,111,147,75.5,89,121,73.6,27,51,52.9,0,0.1,0.2,-0.1,2,20,3,0,23,254,78,3,0,0,18,75,0,0,0,0,230,0,13,4,0.46,3,0,0,0,0,1,0,0.0,18,11,12,4,2,9,15,60.0,6,15,4,11,9,27,19,1,436,34,130,233,80,1,436,20,13,65.0,5,25.0,180,1314,1,0,0,15,5,0,0,2,0,48,7,41.2,21.9,0.0,0.0,0.1145038167938931,0.0,0.0,0.0125954198473282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057251908396946,0.0,0.0,26.33587786259542,38.015267175572525,7.935114503816794,459.9618320610687,137.17557251908397,12.709923664122138,16.83206106870229,8.645038167938932,10.19083969465649,13.85496183206107,8.427480916030534,3.0916030534351147,5.83969465648855,6.057251908396947,0.0,0.0114503816793893,0.0229007633587786,-0.0114503816793893,0.2290076335877862,2.290076335877863,0.3435114503816794,0.0,2.6335877862595423,29.083969465648856,8.931297709923665,0.3435114503816794,0.0,0.0,2.0610687022900764,8.587786259541986,0.0,0.0,0.0,0.0,26.33587786259542,0.0,1.4885496183206108,0.4580152671755725,0.0526717557251908,0.3435114503816794,0.0,0.0,0.0,0.0,0.1145038167938931,0.0,0.0,2.0610687022900764,1.2595419847328246,1.3740458015267176,0.4580152671755725,0.2290076335877862,1.0305343511450382,1.717557251908397,6.870229007633588,0.6870229007633588,1.717557251908397,0.4580152671755725,1.2595419847328246,1.0305343511450382,3.0916030534351147,2.17557251908397,0.1145038167938931,49.92366412213741,3.893129770992367,14.885496183206108,26.6793893129771,9.160305343511451,0.1145038167938931,49.92366412213741,2.290076335877863,1.4885496183206108,7.442748091603054,0.5725190839694657,2.8625954198473287,20.61068702290077,150.4580152671756,0.1145038167938931,0.0,0.0,1.717557251908397,0.5725190839694657,0.0,0.0,0.2290076335877862,0.0,5.496183206106871,0.801526717557252,4.7175572519083975,21.9,8.733333333333333,46.3,13620,2070,519.1739130434783,2.878587573030833,2.025672736577253,0.42645741822679,1.1727579001236728,0.9595291910102776,0.9595291910102776,0.9595291910102776,0.7463004818968827,0.639686127340185,1.5992153183504627,9.61598086265104,3.1324612435686183,53.91324419237301,Right-Back
8,Salih Özcan,tr TUR,MF,Dortmund,de Bundesliga,25,1998,19,16,1341,1,0.0,2,1,50.0,0.13,0.07,0.0,0.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,722,831,86.9,11455,3158,363,403,90.1,264,304,86.8,58,76,76.3,1,0.4,0.4,0.6,7,65,5,1,63,793,37,29,1,6,3,6,0,0,0,0,722,1,7,21,1.41,18,2,0,0,0,1,1,0.07,24,14,6,14,4,13,32,40.6,19,20,2,18,21,45,16,2,973,32,237,643,96,6,973,11,5,45.5,5,45.5,524,1964,6,0,0,19,23,0,0,0,0,105,18,56.3,10.2,0.0671140939597315,0.0,0.1342281879194631,0.0671140939597315,3.355704697986577,0.0087248322147651,0.0046979865771812,0.0,0.0,0.0,0.0,0.0,0.0134228187919463,0.0134228187919463,0.0053691275167785,-0.0134228187919463,-0.0134228187919463,48.45637583892617,55.77181208053691,5.832214765100671,768.7919463087248,211.94630872483225,24.36241610738255,27.04697986577181,6.046979865771812,17.71812080536913,20.40268456375839,5.825503355704698,3.892617449664429,5.100671140939597,5.120805369127517,0.0671140939597315,0.0268456375838926,0.0268456375838926,0.0402684563758389,0.4697986577181208,4.362416107382551,0.3355704697986577,0.0671140939597315,4.228187919463087,53.22147651006711,2.483221476510067,1.9463087248322144,0.0671140939597315,0.4026845637583892,0.2013422818791946,0.4026845637583892,0.0,0.0,0.0,0.0,48.45637583892617,0.0671140939597315,0.4697986577181208,1.4093959731543624,0.0946308724832214,1.2080536912751678,0.1342281879194631,0.0,0.0,0.0,0.0671140939597315,0.0671140939597315,0.0046979865771812,1.610738255033557,0.9395973154362416,0.4026845637583892,0.9395973154362416,0.2684563758389262,0.87248322147651,2.1476510067114094,2.7248322147651005,1.2751677852348993,1.342281879194631,0.1342281879194631,1.2080536912751678,1.4093959731543624,3.02013422818792,1.0738255033557047,0.1342281879194631,65.30201342281879,2.1476510067114094,15.906040268456376,43.15436241610738,6.442953020134228,0.4026845637583892,65.30201342281879,0.7382550335570469,0.3355704697986577,3.053691275167785,0.3355704697986577,3.053691275167785,35.16778523489933,131.81208053691276,0.4026845637583892,0.0,0.0,1.2751677852348993,1.5436241610738255,0.0,0.0,0.0,0.0,7.046979865771812,1.2080536912751678,3.7785234899328857,10.2,14.9,56.9,12716,2070,685.0,3.503635995577633,1.2457372428720472,0.1557171553590059,1.401454398231053,1.6350301312695616,1.012161509833538,1.012161509833538,1.401454398231053,1.479312975910556,2.4914744857440945,9.533140645666975,3.2775914083826114,57.38314009035042,Central Midfield
9,Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,20,2003,1,0,4,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2,100.0,18,1,2,2,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,4,0,0,2,2,0,4,0,0,0.0,0,0.0,3,13,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,2250.0,405.0,22.5,45.0,45.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,22.5,0.0,0.0,0.0,0.0,90.0,0.0,0.0,45.0,45.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,67.5,292.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0444444444444444,56.3,13516,2250,660.32,0.0,0.0,0.0,25.74370709382151,0.0,0.0,0.0,0.0,0.0,0.0,13.629755270172035,0.0,79.92895204262878,Right Winger
